,,,,only coding,,"only coding, available sequence",,in GB,,,,,,,,,,,,,,,,,,,,,, ,, ,,
,class,taxon,18S genbank,18S GC,18S introns,28S genbank,28S GC,28S introns,cp genbank,cp size,cp GC,cp coding,cp introns,SSU_cp_GC,mt genbank,mt size,mt GC,mt coding,mt introns,Habitat,comments,,site of origin,max annual temperature ©,min annual temperature ,annual precipitation,18S GC,28S GC,,,,cp coding (where available),mt coding (where available),
Sphaeropleaceae_sl,Chlorophyceae,Johansenicoccus eremophilus,OQ849776,54.9,0,OQ849776,58.1,0,OQ849777,235854,37.3,38.1,3,53.7,,36458,32.7,50.5,1,Terrestrial,,,Joshua Tree NP,37,2,124.7,54.9,58.1,"Joshua Tree Climate, Weather By Month, Average Temperature (California, United States) - Weather Spark",data for Twentynine Palms,,,,
Sphaeropleaceae_sl,Chlorophyceae,Ankyra judayi,U73469,48.5,0,AF183448,52,0,KT199255,157224,28.3,57,3,50.6,,31223,34,50.4,4,Freshwater,,,"Malham Tarn, Yorkshire, UK",18,1,847,48.5,52,"Yorkshire Dales National Park Climate, Weather By Month, Average Temperature (United Kingdom) - Weather Spark",,,,,
Sphaeropleaceae_sl,Chlorophyceae,Atractomorpha echinata,U73470,49.8,0,AF183450,52.5,0,KT369370-KT369440,,,,2,,KJ845680–KJ845692,,,,3,Terrestrial,soil from pond?,,"Lubbock Co., TX",34,-2,408.5,49.8,52.5,"Lubbock Climate, Weather By Month, Average Temperature (Texas, United States) - Weather Spark",,,,,
Sphaeropleaceae_sl,Chlorophyceae,Spermatozopsis similis,X65557,47.8,0,unpubl.,52,1,MG778500,134869,33.2,60.2,7,49.6,,30541,33.4,60.8,2,Freshwater,,,"Cambridge, UK, pond near Madingley",22,2,460.7,47.8,52,"Cambridge Climate, Weather By Month, Average Temperature (United Kingdom) - Weather Spark",,,,,
Scenedesminia,Chlorophyceae,Bracteacoccus aerius,U63101,48.7,0,KC145456,53.7,0,KT199254,165732,31.7,54.9,2,53.1,KJ806265,47158,47.1,40.8,3,Terrestrial,,,"Austin, TX",36,6,705.1,48.7,53.7,"Austin Climate, Weather By Month, Average Temperature (Texas, United States) - Weather Spark",,,,,
Scenedesminia,Chlorophyceae,Bracteacoccus bullatus,JQ259933,48.2,0,,,,,,,,,,,,,,,Terrestrial,CCALA 694,,"Ellesmere Island, Canada",13,-34,104.3,48.2,,"Gjoa Haven Climate, Weather By Month, Average Temperature (Canada) - Weather Spark",,,,,
Scenedesminia,Chlorophyceae,Bracteacoccus bullatus,JQ259931,48.2,0,,,,,,,,,,,,,,,Terrestrial,SAG-N2,,"Abisko, Sweden",17,-17,342.3,48.2,,"Kiruna Airport Climate, Weather By Month, Average Temperature (Sweden) - Weather Spark",,,,,
Scenedesminia,Chlorophyceae,Bracteacoccus giganteus,U63099,48.7,0,AF183451,53.4,0,NC_028586,242897,33.3,40.0033759,16,53.7,,,,,,Terrestrial,UTEX 1251,,"Enchanted Rock, TX",34,2,657.7,48.7,,"Fredericksburg Climate, Weather By Month, Average Temperature (Texas, United States) - Weather Spark",,,,,
Scenedesminia,Chlorophyceae,Bracteacoccus glacialis,U63104,48.1,0,,,,,,,,,,,,,,,,Broady 686,,Antarctica,0,-28,203,48.1,,"McMurdo Station Climate, Weather By Month, Average Temperature (Antarctica) - Weather Spark",,,,,
